variables=x,r,u,p
zone i=       199
         0.2512562814E-02         0.4450000033E+00         0.6979999749E+00         0.3528000037E+01
         0.7537688442E-02         0.4450000033E+00         0.6979999749E+00         0.3528000037E+01
         0.1256281407E-01         0.4449999908E+00         0.6979999751E+00         0.3527999931E+01
         0.1758793970E-01         0.4449999912E+00         0.6979999484E+00         0.3527999943E+01
         0.2261306533E-01         0.4449999895E+00         0.6979999578E+00         0.3527999926E+01
         0.2763819095E-01         0.4449999904E+00         0.6979999518E+00         0.3527999935E+01
         0.3266331658E-01         0.4449999899E+00         0.6979999555E+00         0.3527999930E+01
         0.3768844221E-01         0.4449999902E+00         0.6979999535E+00         0.3527999933E+01
         0.4271356784E-01         0.4449999900E+00         0.6979999545E+00         0.3527999931E+01
         0.4773869347E-01         0.4449999902E+00         0.6979999533E+00         0.3527999933E+01
         0.5276381910E-01         0.4449999902E+00         0.6979999534E+00         0.3527999933E+01
         0.5778894472E-01         0.4449999901E+00         0.6979999544E+00         0.3527999932E+01
         0.6281407035E-01         0.4449999896E+00         0.6979999574E+00         0.3527999927E+01
         0.6783919598E-01         0.4449999894E+00         0.6979999592E+00         0.3527999925E+01
         0.7286432161E-01         0.4449999902E+00         0.6979999540E+00         0.3527999932E+01
         0.7788944724E-01         0.4449999922E+00         0.6979999389E+00         0.3527999955E+01
         0.8291457286E-01         0.4449999938E+00         0.6979999256E+00         0.3527999974E+01
         0.8793969849E-01         0.4449999913E+00         0.6979999427E+00         0.3527999949E+01
         0.9296482412E-01         0.4449999818E+00         0.6980000162E+00         0.3527999840E+01
         0.9798994975E-01         0.4449999685E+00         0.6980001229E+00         0.3527999682E+01
         0.1030150754E+00         0.4449999652E+00         0.6980001572E+00         0.3527999631E+01
         0.1080402010E+00         0.4449999908E+00         0.6979999745E+00         0.3527999903E+01
         0.1130653266E+00         0.4450000462E+00         0.6979995613E+00         0.3528000513E+01
         0.1180904523E+00         0.4450000773E+00         0.6979993237E+00         0.3528000880E+01
         0.1231155779E+00         0.4449999200E+00         0.6980004731E+00         0.3527999147E+01
         0.1281407035E+00         0.4449988082E+00         0.6980089051E+00         0.3527986633E+01
         0.1331658291E+00         0.4449919083E+00         0.6980605258E+00         0.3527910124E+01
         0.1381909548E+00         0.4449531435E+00         0.6983507439E+00         0.3527479912E+01
         0.1432160804E+00         0.4446924780E+00         0.7003033679E+00         0.3524587497E+01
         0.1482412060E+00         0.4436801273E+00         0.7078927036E+00         0.3513360715E+01
         0.1532663317E+00         0.4416697500E+00         0.7230061918E+00         0.3491096283E+01
         0.1582914573E+00         0.4388146812E+00         0.7445658408E+00         0.3459545592E+01
         0.1633165829E+00         0.4354287976E+00         0.7702806304E+00         0.3422233599E+01
         0.1683417085E+00         0.4317808512E+00         0.7981652398E+00         0.3382162097E+01
         0.1733668342E+00         0.4280253622E+00         0.8270692516E+00         0.3341049877E+01
         0.1783919598E+00         0.4242300025E+00         0.8564869999E+00         0.3299647308E+01
         0.1834170854E+00         0.4204210538E+00         0.8862225833E+00         0.3258245132E+01
         0.1884422111E+00         0.4166105538E+00         0.9161867541E+00         0.3216975926E+01
         0.1934673367E+00         0.4128060882E+00         0.9463230302E+00         0.3175922406E+01
         0.1984924623E+00         0.4090131108E+00         0.9765903119E+00         0.3135143221E+01
         0.2035175879E+00         0.4052355128E+00         0.1006958878E+01         0.3094679446E+01
         0.2085427136E+00         0.4014760269E+00         0.1037407525E+01         0.3054559196E+01
         0.2135678392E+00         0.3977365843E+00         0.1067920963E+01         0.3014801645E+01
         0.2185929648E+00         0.3940185729E+00         0.1098487910E+01         0.2975419911E+01
         0.2236180905E+00         0.3903230043E+00         0.1129099867E+01         0.2936422926E+01
         0.2286432161E+00         0.3866506214E+00         0.1159750321E+01         0.2897816638E+01
         0.2336683417E+00         0.3830019693E+00         0.1190434223E+01         0.2859604808E+01
         0.2386934673E+00         0.3793774420E+00         0.1221147651E+01         0.2821789539E+01
         0.2437185930E+00         0.3757773147E+00         0.1251887583E+01         0.2784371632E+01
         0.2487437186E+00         0.3722017681E+00         0.1282651708E+01         0.2747350871E+01
         0.2537688442E+00         0.3686508966E+00         0.1313438416E+01         0.2710726120E+01
         0.2587939698E+00         0.3651245733E+00         0.1344247950E+01         0.2674493963E+01
         0.2638190955E+00         0.3616217322E+00         0.1375088926E+01         0.2638641412E+01
         0.2688442211E+00         0.3581380226E+00         0.1405999430E+01         0.2603122234E+01
         0.2738693467E+00         0.3546610260E+00         0.1437091086E+01         0.2567809088E+01
         0.2788944724E+00         0.3511670091E+00         0.1468581718E+01         0.2532462343E+01
         0.2839195980E+00         0.3476392045E+00         0.1500631289E+01         0.2496915954E+01
         0.2889447236E+00         0.3441536946E+00         0.1532553298E+01         0.2461936589E+01
         0.2939698492E+00         0.3410673373E+00         0.1561038471E+01         0.2431079360E+01
         0.2989949749E+00         0.3391814576E+00         0.1578544324E+01         0.2412278993E+01
         0.3040201005E+00         0.3394347364E+00         0.1576187222E+01         0.2414796182E+01
         0.3090452261E+00         0.3417484212E+00         0.1554714194E+01         0.2437886427E+01
         0.3140703518E+00         0.3442805101E+00         0.1531424856E+01         0.2463180474E+01
         0.3190954774E+00         0.3450055986E+00         0.1524618418E+01         0.2470553890E+01
         0.3241206030E+00         0.3447553583E+00         0.1527097442E+01         0.2467888750E+01
         0.3291457286E+00         0.3443639590E+00         0.1530671412E+01         0.2463987577E+01
         0.3341708543E+00         0.3442678958E+00         0.1531423470E+01         0.2463157204E+01
